,time,z_stage_setpoint,z_stage_readback,MyGaussMeter_Bx,MyGaussMeter_By,MyGaussMeter_Bz,MyGaussMeter_Btot
0,1723722588.0180607,-1.0,-1.0,30.4557751,-71.672109,2.557105,104.660047
1,1723722598.0506985,-278.94736842105266,-278.94736842105266,30.4687896,-71.672109,3.25038608,98.2172515
2,1723722608.086756,-557.8947368421053,-557.8947368421053,30.4660822,-94.723978,0.72745142,99.431057
3,1723722618.322365,-836.8421052631579,-836.8421052631579,30.384499,-94.723978,0.61832882,100.870584
4,1723722628.5576582,-1115.7894736842106,-1115.7894736842106,31.3124131,-94.723978,1.29431799,101.653013
5,1723722639.4097905,-1394.7368421052633,-1394.7368421052633,32.3251687,-96.703398,2.95486137,102.38055
6,1723722649.641581,-1673.6842105263158,-1673.6842105263158,31.0108939,-96.703398,-0.6958365,103.61375
7,1723722660.1198325,-1952.6315789473686,-1952.6315789473686,31.0108939,-99.420694,0.58257135,104.567881
8,1723722676.7385106,-2231.5789473684213,-2231.5789473684213,35.2465511,-99.420694,3.8849669,105.751822
9,1723722686.7778704,-2510.5263157894738,-2510.5263157894738,31.6206724,-100.99847,3.88719784,105.844645
10,1723722696.813682,-2789.4736842105267,-2789.4736842105267,34.5776378,-102.70907,3.88719784,108.376894
11,1723722706.8430371,-3068.421052631579,-3068.421052631579,34.1231435,-103.02933,3.88719784,108.546904
12,1723722716.88157,-3347.3684210526317,-3347.3684210526317,32.6151725,-102.75107,-0.7506226,107.822261
13,1723722726.9312537,-3626.3157894736846,-3626.3157894736846,32.4576721,-105.18688,-0.7506226,110.139347
14,1723722736.9649696,-3905.263157894737,-3905.263157894737,34.5846782,-105.18688,-0.5704409,109.464376
15,1723722747.2069495,-4184.21052631579,-4184.21052631579,33.3549016,-103.86304,-2.4802789,109.763307
16,1723722757.248261,-4463.1578947368425,-4463.1578947368425,33.3547424,-105.82521,-2.4802789,111.001382
17,1723722767.4812617,-4742.105263157895,-4742.105263157895,34.833893,-106.07957,-2.4802789,111.662019
18,1723722777.7284079,-5021.0526315789475,-5021.0526315789475,34.7791364,-105.93123,-2.4802789,111.538847
19,1723722787.7764316,-5300.0,-5300.0,34.8542874,-107.59826,-3.3136771,111.486468
